Copied to CUDA
Epoch 1: TrL=3.7120, TrA=0.0313, VL=3.6981, VA=0.0207, TeL=3.7000, TeA=0.0146
Epoch 2: TrL=3.6699, TrA=0.0433, VL=3.6685, VA=0.0489, TeL=3.6725, TeA=0.0302
Epoch 3: TrL=3.6231, TrA=0.0585, VL=3.6195, VA=0.0529, TeL=3.6285, TeA=0.0398
Epoch 4: TrL=3.5498, TrA=0.0744, VL=3.5349, VA=0.0655, TeL=3.5485, TeA=0.0600
Epoch 5: TrL=3.4480, TrA=0.0835, VL=3.4270, VA=0.0741, TeL=3.4435, TeA=0.0721
Epoch 6: TrL=3.3288, TrA=0.0993, VL=3.3175, VA=0.0872, TeL=3.3289, TeA=0.0877
Epoch 7: TrL=3.2194, TrA=0.1132, VL=3.2248, VA=0.0993, TeL=3.2354, TeA=0.0948
Epoch 8: TrL=3.1297, TrA=0.1219, VL=3.1518, VA=0.1043, TeL=3.1598, TeA=0.0983
Epoch 9: TrL=3.0574, TrA=0.1343, VL=3.0838, VA=0.1245, TeL=3.0932, TeA=0.1094
Epoch 10: TrL=2.9986, TrA=0.1457, VL=3.0344, VA=0.1225, TeL=3.0448, TeA=0.1169
Epoch 11: TrL=2.9468, TrA=0.1552, VL=2.9889, VA=0.1300, TeL=2.9923, TeA=0.1184
Epoch 12: TrL=2.8984, TrA=0.1567, VL=2.9502, VA=0.1321, TeL=2.9548, TeA=0.1230
Epoch 13: TrL=2.8562, TrA=0.1652, VL=2.9098, VA=0.1401, TeL=2.9118, TeA=0.1366
Epoch 14: TrL=2.8164, TrA=0.1752, VL=2.8710, VA=0.1537, TeL=2.8665, TeA=0.1482
Epoch 15: TrL=2.7775, TrA=0.1861, VL=2.8419, VA=0.1618, TeL=2.8356, TeA=0.1557
Epoch 16: TrL=2.7413, TrA=0.1930, VL=2.8032, VA=0.1663, TeL=2.7946, TeA=0.1658
Epoch 17: TrL=2.7049, TrA=0.1973, VL=2.7675, VA=0.1678, TeL=2.7604, TeA=0.1809
Epoch 18: TrL=2.6708, TrA=0.2062, VL=2.7376, VA=0.1835, TeL=2.7220, TeA=0.1825
Epoch 19: TrL=2.6394, TrA=0.2100, VL=2.7162, VA=0.1880, TeL=2.6939, TeA=0.1915
Epoch 20: TrL=2.6101, TrA=0.2176, VL=2.6855, VA=0.1925, TeL=2.6604, TeA=0.1961
Epoch 21: TrL=2.5838, TrA=0.2218, VL=2.6643, VA=0.1941, TeL=2.6368, TeA=0.2046
Epoch 22: TrL=2.5597, TrA=0.2231, VL=2.6392, VA=0.1951, TeL=2.6107, TeA=0.2036
Epoch 23: TrL=2.5351, TrA=0.2295, VL=2.6240, VA=0.1925, TeL=2.5958, TeA=0.2127
Epoch 24: TrL=2.5119, TrA=0.2386, VL=2.5976, VA=0.2056, TeL=2.5647, TeA=0.2253
Epoch 25: TrL=2.4889, TrA=0.2443, VL=2.5745, VA=0.2072, TeL=2.5455, TeA=0.2334
Epoch 26: TrL=2.4667, TrA=0.2480, VL=2.5586, VA=0.2157, TeL=2.5209, TeA=0.2389
Epoch 27: TrL=2.4462, TrA=0.2564, VL=2.5367, VA=0.2182, TeL=2.5049, TeA=0.2445
Epoch 28: TrL=2.4235, TrA=0.2642, VL=2.5248, VA=0.2193, TeL=2.4867, TeA=0.2485
Epoch 29: TrL=2.4039, TrA=0.2657, VL=2.5033, VA=0.2308, TeL=2.4673, TeA=0.2500
Epoch 30: TrL=2.3855, TrA=0.2696, VL=2.4838, VA=0.2283, TeL=2.4503, TeA=0.2560
Epoch 31: TrL=2.3646, TrA=0.2803, VL=2.4632, VA=0.2394, TeL=2.4300, TeA=0.2636
Epoch 32: TrL=2.3466, TrA=0.2777, VL=2.4500, VA=0.2424, TeL=2.4129, TeA=0.2707
Epoch 33: TrL=2.3289, TrA=0.2826, VL=2.4286, VA=0.2480, TeL=2.4029, TeA=0.2601
Epoch 34: TrL=2.3124, TrA=0.2858, VL=2.4131, VA=0.2510, TeL=2.3847, TeA=0.2737
Epoch 35: TrL=2.2960, TrA=0.2940, VL=2.3993, VA=0.2495, TeL=2.3677, TeA=0.2737
Epoch 36: TrL=2.2791, TrA=0.2956, VL=2.3967, VA=0.2651, TeL=2.3562, TeA=0.2807
Epoch 37: TrL=2.2635, TrA=0.2977, VL=2.3755, VA=0.2681, TeL=2.3400, TeA=0.2747
Epoch 38: TrL=2.2476, TrA=0.3032, VL=2.3627, VA=0.2641, TeL=2.3288, TeA=0.2858
Epoch 39: TrL=2.2347, TrA=0.3073, VL=2.3474, VA=0.2651, TeL=2.3052, TeA=0.2898
Epoch 40: TrL=2.2178, TrA=0.3120, VL=2.3318, VA=0.2586, TeL=2.3028, TeA=0.2989
Epoch 41: TrL=2.2055, TrA=0.3110, VL=2.3115, VA=0.2707, TeL=2.2764, TeA=0.3039
Epoch 42: TrL=2.1906, TrA=0.3154, VL=2.3089, VA=0.2702, TeL=2.2714, TeA=0.3034
Epoch 43: TrL=2.1785, TrA=0.3188, VL=2.2935, VA=0.2692, TeL=2.2538, TeA=0.3039
Epoch 44: TrL=2.1670, TrA=0.3228, VL=2.2822, VA=0.2792, TeL=2.2423, TeA=0.3120
Epoch 45: TrL=2.1513, TrA=0.3241, VL=2.2690, VA=0.2787, TeL=2.2238, TeA=0.3160
Epoch 46: TrL=2.1398, TrA=0.3256, VL=2.2687, VA=0.2843, TeL=2.2291, TeA=0.3191
Epoch 47: TrL=2.1270, TrA=0.3335, VL=2.2519, VA=0.2828, TeL=2.2112, TeA=0.3276
Epoch 48: TrL=2.1175, TrA=0.3330, VL=2.2416, VA=0.2843, TeL=2.1968, TeA=0.3256
Epoch 49: TrL=2.1043, TrA=0.3373, VL=2.2316, VA=0.2752, TeL=2.1857, TeA=0.3246
Epoch 50: TrL=2.0954, TrA=0.3432, VL=2.2171, VA=0.2908, TeL=2.1758, TeA=0.3251
Epoch 51: TrL=2.0835, TrA=0.3399, VL=2.2054, VA=0.2903, TeL=2.1627, TeA=0.3301
Epoch 52: TrL=2.0723, TrA=0.3490, VL=2.2017, VA=0.2944, TeL=2.1600, TeA=0.3311
Epoch 53: TrL=2.0634, TrA=0.3412, VL=2.1848, VA=0.2984, TeL=2.1412, TeA=0.3387
Epoch 54: TrL=2.0525, TrA=0.3493, VL=2.1717, VA=0.2999, TeL=2.1335, TeA=0.3397
Epoch 55: TrL=2.0404, TrA=0.3546, VL=2.1784, VA=0.2989, TeL=2.1382, TeA=0.3402
Epoch 56: TrL=2.0328, TrA=0.3507, VL=2.1611, VA=0.3065, TeL=2.1258, TeA=0.3422
Epoch 57: TrL=2.0237, TrA=0.3554, VL=2.1514, VA=0.3095, TeL=2.1152, TeA=0.3427
Epoch 58: TrL=2.0145, TrA=0.3560, VL=2.1408, VA=0.3115, TeL=2.1069, TeA=0.3458
Epoch 59: TrL=2.0045, TrA=0.3602, VL=2.1455, VA=0.3065, TeL=2.1022, TeA=0.3468
Epoch 60: TrL=1.9988, TrA=0.3608, VL=2.1290, VA=0.3125, TeL=2.0831, TeA=0.3422
Epoch 61: TrL=1.9885, TrA=0.3647, VL=2.1263, VA=0.3185, TeL=2.0797, TeA=0.3488
Epoch 62: TrL=1.9804, TrA=0.3659, VL=2.1137, VA=0.3185, TeL=2.0694, TeA=0.3483
Epoch 63: TrL=1.9704, TrA=0.3690, VL=2.1063, VA=0.3241, TeL=2.0644, TeA=0.3468
