Copied to CUDA
Epoch 1: TrL=3.7088, TrA=0.0298, VL=3.6909, VA=0.0302, TeL=3.6840, TeA=0.0378
Epoch 2: TrL=3.6532, TrA=0.0472, VL=3.6416, VA=0.0428, TeL=3.6325, TeA=0.0585
Epoch 3: TrL=3.5689, TrA=0.0744, VL=3.5491, VA=0.0670, TeL=3.5416, TeA=0.0781
Epoch 4: TrL=3.4463, TrA=0.1001, VL=3.4195, VA=0.0817, TeL=3.4180, TeA=0.0932
Epoch 5: TrL=3.3089, TrA=0.1117, VL=3.2967, VA=0.0927, TeL=3.2961, TeA=0.0998
Epoch 6: TrL=3.1859, TrA=0.1276, VL=3.1855, VA=0.1079, TeL=3.1883, TeA=0.1079
Epoch 7: TrL=3.0818, TrA=0.1382, VL=3.0914, VA=0.1139, TeL=3.0911, TeA=0.1179
Epoch 8: TrL=2.9926, TrA=0.1475, VL=3.0054, VA=0.1245, TeL=3.0085, TeA=0.1205
Epoch 9: TrL=2.9135, TrA=0.1603, VL=2.9314, VA=0.1336, TeL=2.9309, TeA=0.1366
Epoch 10: TrL=2.8431, TrA=0.1703, VL=2.8683, VA=0.1462, TeL=2.8644, TeA=0.1431
Epoch 11: TrL=2.7832, TrA=0.1801, VL=2.8148, VA=0.1643, TeL=2.8096, TeA=0.1477
Epoch 12: TrL=2.7290, TrA=0.1891, VL=2.7651, VA=0.1618, TeL=2.7581, TeA=0.1603
Epoch 13: TrL=2.6812, TrA=0.1961, VL=2.7262, VA=0.1683, TeL=2.7114, TeA=0.1694
Epoch 14: TrL=2.6362, TrA=0.2020, VL=2.6867, VA=0.1709, TeL=2.6672, TeA=0.1769
Epoch 15: TrL=2.5962, TrA=0.2114, VL=2.6583, VA=0.1734, TeL=2.6381, TeA=0.1820
Epoch 16: TrL=2.5569, TrA=0.2145, VL=2.6186, VA=0.1759, TeL=2.5943, TeA=0.1956
Epoch 17: TrL=2.5214, TrA=0.2243, VL=2.5867, VA=0.1850, TeL=2.5634, TeA=0.1976
Epoch 18: TrL=2.4897, TrA=0.2251, VL=2.5640, VA=0.1910, TeL=2.5366, TeA=0.2021
Epoch 19: TrL=2.4608, TrA=0.2285, VL=2.5406, VA=0.1895, TeL=2.5103, TeA=0.2077
Epoch 20: TrL=2.4340, TrA=0.2324, VL=2.5113, VA=0.1900, TeL=2.4813, TeA=0.2087
Epoch 21: TrL=2.4100, TrA=0.2421, VL=2.4911, VA=0.1880, TeL=2.4583, TeA=0.2102
Epoch 22: TrL=2.3855, TrA=0.2399, VL=2.4669, VA=0.1930, TeL=2.4347, TeA=0.2213
Epoch 23: TrL=2.3616, TrA=0.2481, VL=2.4510, VA=0.1930, TeL=2.4150, TeA=0.2213
Epoch 24: TrL=2.3377, TrA=0.2565, VL=2.4290, VA=0.2026, TeL=2.3926, TeA=0.2268
Epoch 25: TrL=2.3149, TrA=0.2684, VL=2.4019, VA=0.2046, TeL=2.3667, TeA=0.2298
Epoch 26: TrL=2.2901, TrA=0.2736, VL=2.3803, VA=0.2117, TeL=2.3422, TeA=0.2354
Epoch 27: TrL=2.2699, TrA=0.2770, VL=2.3710, VA=0.2157, TeL=2.3316, TeA=0.2394
Epoch 28: TrL=2.2508, TrA=0.2881, VL=2.3450, VA=0.2167, TeL=2.3055, TeA=0.2470
Epoch 29: TrL=2.2313, TrA=0.2895, VL=2.3325, VA=0.2288, TeL=2.2848, TeA=0.2550
Epoch 30: TrL=2.2116, TrA=0.2993, VL=2.3094, VA=0.2364, TeL=2.2629, TeA=0.2661
Epoch 31: TrL=2.1911, TrA=0.3016, VL=2.2949, VA=0.2354, TeL=2.2478, TeA=0.2692
Epoch 32: TrL=2.1716, TrA=0.3062, VL=2.2802, VA=0.2404, TeL=2.2285, TeA=0.2767
Epoch 33: TrL=2.1563, TrA=0.3096, VL=2.2664, VA=0.2414, TeL=2.2157, TeA=0.2722
Epoch 34: TrL=2.1387, TrA=0.3104, VL=2.2503, VA=0.2550, TeL=2.2044, TeA=0.2732
Epoch 35: TrL=2.1240, TrA=0.3112, VL=2.2430, VA=0.2581, TeL=2.1954, TeA=0.2747
Epoch 36: TrL=2.1095, TrA=0.3224, VL=2.2232, VA=0.2611, TeL=2.1775, TeA=0.2863
Epoch 37: TrL=2.0946, TrA=0.3219, VL=2.2113, VA=0.2591, TeL=2.1626, TeA=0.2903
Epoch 38: TrL=2.0803, TrA=0.3265, VL=2.2044, VA=0.2641, TeL=2.1512, TeA=0.3019
Epoch 39: TrL=2.0675, TrA=0.3300, VL=2.1851, VA=0.2661, TeL=2.1371, TeA=0.3039
Epoch 40: TrL=2.0540, TrA=0.3394, VL=2.1762, VA=0.2777, TeL=2.1306, TeA=0.2999
Epoch 41: TrL=2.0413, TrA=0.3359, VL=2.1658, VA=0.2772, TeL=2.1166, TeA=0.3049
Epoch 42: TrL=2.0292, TrA=0.3424, VL=2.1620, VA=0.2843, TeL=2.1112, TeA=0.3100
Epoch 43: TrL=2.0152, TrA=0.3460, VL=2.1429, VA=0.2898, TeL=2.0998, TeA=0.3160
Epoch 44: TrL=2.0026, TrA=0.3495, VL=2.1447, VA=0.2888, TeL=2.0926, TeA=0.3180
Epoch 45: TrL=1.9930, TrA=0.3502, VL=2.1160, VA=0.2979, TeL=2.0726, TeA=0.3180
Epoch 46: TrL=1.9794, TrA=0.3534, VL=2.1148, VA=0.3009, TeL=2.0726, TeA=0.3180
Epoch 47: TrL=1.9697, TrA=0.3558, VL=2.1198, VA=0.2923, TeL=2.0682, TeA=0.3251
Epoch 48: TrL=1.9582, TrA=0.3584, VL=2.0975, VA=0.2959, TeL=2.0548, TeA=0.3266
Epoch 49: TrL=1.9478, TrA=0.3673, VL=2.0790, VA=0.3085, TeL=2.0345, TeA=0.3332
Epoch 50: TrL=1.9383, TrA=0.3667, VL=2.0763, VA=0.3105, TeL=2.0312, TeA=0.3357
Epoch 51: TrL=1.9303, TrA=0.3663, VL=2.0696, VA=0.3080, TeL=2.0242, TeA=0.3327
Epoch 52: TrL=1.9210, TrA=0.3707, VL=2.0684, VA=0.3170, TeL=2.0287, TeA=0.3296
Epoch 53: TrL=1.9130, TrA=0.3729, VL=2.0510, VA=0.3266, TeL=2.0114, TeA=0.3352
Epoch 54: TrL=1.9023, TrA=0.3726, VL=2.0441, VA=0.3301, TeL=2.0066, TeA=0.3377
Epoch 55: TrL=1.8952, TrA=0.3819, VL=2.0409, VA=0.3271, TeL=1.9991, TeA=0.3387
Epoch 56: TrL=1.8870, TrA=0.3808, VL=2.0341, VA=0.3301, TeL=1.9916, TeA=0.3412
