Copied to CUDA
Epoch 1: TrL=3.6650, TrA=0.0453, VL=3.6076, VA=0.0726, TeL=3.6006, TeA=0.0706
Epoch 2: TrL=3.4421, TrA=0.1176, VL=3.2868, VA=0.1250, TeL=3.2888, TeA=0.1265
Epoch 3: TrL=3.0824, TrA=0.1694, VL=2.9738, VA=0.1628, TeL=2.9749, TeA=0.1689
Epoch 4: TrL=2.8151, TrA=0.2065, VL=2.8037, VA=0.1956, TeL=2.8126, TeA=0.2056
Epoch 5: TrL=2.6344, TrA=0.2491, VL=2.6166, VA=0.2308, TeL=2.6163, TeA=0.2485
Epoch 6: TrL=2.4920, TrA=0.2728, VL=2.4745, VA=0.2631, TeL=2.4718, TeA=0.2833
Epoch 7: TrL=2.3630, TrA=0.3051, VL=2.3740, VA=0.2838, TeL=2.3737, TeA=0.2903
Epoch 8: TrL=2.2561, TrA=0.3316, VL=2.2862, VA=0.3039, TeL=2.2931, TeA=0.3075
Epoch 9: TrL=2.1728, TrA=0.3453, VL=2.1992, VA=0.3185, TeL=2.1966, TeA=0.3256
Epoch 10: TrL=2.0897, TrA=0.3618, VL=2.1662, VA=0.3175, TeL=2.1560, TeA=0.3342
Epoch 11: TrL=2.1426, TrA=0.3475, VL=2.1544, VA=0.3155, TeL=2.1515, TeA=0.3281
Epoch 12: TrL=2.0185, TrA=0.3712, VL=2.0376, VA=0.3548, TeL=2.0483, TeA=0.3659
Epoch 13: TrL=1.9274, TrA=0.3996, VL=1.9885, VA=0.3659, TeL=1.9867, TeA=0.3785
Epoch 14: TrL=1.9027, TrA=0.4071, VL=1.9669, VA=0.3629, TeL=1.9747, TeA=0.3750
Epoch 15: TrL=1.8461, TrA=0.4200, VL=1.9129, VA=0.3826, TeL=1.9003, TeA=0.4093
Epoch 16: TrL=1.7795, TrA=0.4315, VL=1.8644, VA=0.3805, TeL=1.8871, TeA=0.3916
Epoch 17: TrL=1.7669, TrA=0.4287, VL=1.8260, VA=0.4083, TeL=1.8277, TeA=0.4178
Epoch 18: TrL=1.7020, TrA=0.4467, VL=1.7932, VA=0.4088, TeL=1.7880, TeA=0.4289
Epoch 19: TrL=1.6680, TrA=0.4589, VL=1.7877, VA=0.4163, TeL=1.8091, TeA=0.4279
Epoch 20: TrL=1.6909, TrA=0.4599, VL=1.7282, VA=0.4405, TeL=1.7235, TeA=0.4466
Epoch 21: TrL=1.6239, TrA=0.4721, VL=1.7360, VA=0.4269, TeL=1.7444, TeA=0.4420
Epoch 22: TrL=1.5779, TrA=0.4904, VL=1.6800, VA=0.4405, TeL=1.6703, TeA=0.4632
Epoch 23: TrL=1.5533, TrA=0.4987, VL=1.8363, VA=0.4042, TeL=1.9063, TeA=0.3962
Epoch 24: TrL=1.5685, TrA=0.4898, VL=1.6254, VA=0.4592, TeL=1.6435, TeA=0.4667
Epoch 25: TrL=1.5003, TrA=0.5138, VL=1.5811, VA=0.4677, TeL=1.5989, TeA=0.4743
Epoch 26: TrL=1.4703, TrA=0.5223, VL=1.5459, VA=0.4803, TeL=1.5501, TeA=0.4808
Epoch 27: TrL=1.4334, TrA=0.5361, VL=1.5426, VA=0.4793, TeL=1.5400, TeA=0.4899
Epoch 28: TrL=1.4088, TrA=0.5390, VL=1.5528, VA=0.4788, TeL=1.5345, TeA=0.4950
Epoch 29: TrL=1.4843, TrA=0.5148, VL=1.5449, VA=0.4773, TeL=1.5217, TeA=0.4919
Epoch 30: TrL=1.4063, TrA=0.5387, VL=1.5839, VA=0.4793, TeL=1.5637, TeA=0.4834
Epoch 31: TrL=1.4046, TrA=0.5415, VL=1.6107, VA=0.4839, TeL=1.6187, TeA=0.4889
Epoch 32: TrL=1.3313, TrA=0.5641, VL=1.5111, VA=0.4985, TeL=1.4935, TeA=0.5126
Epoch 33: TrL=1.4087, TrA=0.5488, VL=1.5315, VA=0.4894, TeL=1.5299, TeA=0.5071
Epoch 34: TrL=1.2936, TrA=0.5791, VL=1.4045, VA=0.5262, TeL=1.4322, TeA=0.5312
Epoch 35: TrL=1.3166, TrA=0.5685, VL=1.4071, VA=0.5232, TeL=1.3941, TeA=0.5393
Epoch 36: TrL=1.2428, TrA=0.5932, VL=1.3858, VA=0.5312, TeL=1.3752, TeA=0.5444
Epoch 37: TrL=1.2208, TrA=0.6022, VL=1.3398, VA=0.5464, TeL=1.3533, TeA=0.5494
Epoch 38: TrL=1.1961, TrA=0.6093, VL=1.3101, VA=0.5504, TeL=1.3253, TeA=0.5610
Epoch 39: TrL=1.1976, TrA=0.6100, VL=1.3618, VA=0.5449, TeL=1.3469, TeA=0.5585
Epoch 40: TrL=1.2523, TrA=0.5996, VL=1.3591, VA=0.5398, TeL=1.3335, TeA=0.5771
Epoch 41: TrL=1.1936, TrA=0.6103, VL=1.3369, VA=0.5464, TeL=1.3521, TeA=0.5554
Epoch 42: TrL=1.1941, TrA=0.6126, VL=1.3416, VA=0.5565, TeL=1.3505, TeA=0.5595
Epoch 43: TrL=1.1457, TrA=0.6294, VL=1.2768, VA=0.5847, TeL=1.2503, TeA=0.5938
Epoch 44: TrL=1.1274, TrA=0.6359, VL=1.3711, VA=0.5494, TeL=1.3868, TeA=0.5575
Epoch 45: TrL=1.1693, TrA=0.6167, VL=1.3954, VA=0.5388, TeL=1.3465, TeA=0.5499
Epoch 46: TrL=1.1073, TrA=0.6351, VL=1.2228, VA=0.5968, TeL=1.2055, TeA=0.6114
Epoch 47: TrL=1.1415, TrA=0.6393, VL=1.3169, VA=0.5680, TeL=1.3065, TeA=0.5827
Epoch 48: TrL=1.0630, TrA=0.6515, VL=1.1814, VA=0.5963, TeL=1.1753, TeA=0.6084
Epoch 49: TrL=1.0421, TrA=0.6617, VL=1.2345, VA=0.5781, TeL=1.2314, TeA=0.5978
Epoch 50: TrL=1.0382, TrA=0.6616, VL=1.1980, VA=0.6018, TeL=1.2084, TeA=0.6109
Epoch 51: TrL=1.0450, TrA=0.6544, VL=1.1543, VA=0.6023, TeL=1.1582, TeA=0.6179
Epoch 52: TrL=1.0133, TrA=0.6685, VL=1.1504, VA=0.6154, TeL=1.1500, TeA=0.6250
Epoch 53: TrL=1.0111, TrA=0.6693, VL=1.1799, VA=0.6043, TeL=1.1608, TeA=0.6114
Epoch 54: TrL=1.0196, TrA=0.6704, VL=1.1288, VA=0.6326, TeL=1.1354, TeA=0.6270
Epoch 55: TrL=1.0364, TrA=0.6680, VL=1.1448, VA=0.6220, TeL=1.1294, TeA=0.6295
Epoch 56: TrL=0.9672, TrA=0.6875, VL=1.1177, VA=0.6270, TeL=1.1142, TeA=0.6240
Epoch 57: TrL=0.9488, TrA=0.6967, VL=1.1569, VA=0.6074, TeL=1.1793, TeA=0.6205
Epoch 58: TrL=0.9686, TrA=0.6823, VL=1.0947, VA=0.6336, TeL=1.0988, TeA=0.6406
Epoch 59: TrL=0.9252, TrA=0.6963, VL=1.0796, VA=0.6401, TeL=1.0943, TeA=0.6366
Epoch 60: TrL=0.9152, TrA=0.7002, VL=1.0816, VA=0.6376, TeL=1.0749, TeA=0.6386
Epoch 61: TrL=0.9104, TrA=0.7077, VL=1.1192, VA=0.6235, TeL=1.1190, TeA=0.6361
Epoch 62: TrL=0.9486, TrA=0.6886, VL=1.0741, VA=0.6396, TeL=1.0872, TeA=0.6406
Epoch 63: TrL=0.9664, TrA=0.6944, VL=1.1952, VA=0.6094, TeL=1.2289, TeA=0.5988
Epoch 64: TrL=0.9293, TrA=0.6983, VL=1.0613, VA=0.6472, TeL=1.0945, TeA=0.6578
Epoch 65: TrL=0.8906, TrA=0.7202, VL=1.0544, VA=0.6502, TeL=1.0958, TeA=0.6552
Epoch 66: TrL=0.8617, TrA=0.7218, VL=1.0326, VA=0.6613, TeL=1.0272, TeA=0.6678
Epoch 67: TrL=0.8357, TrA=0.7331, VL=0.9986, VA=0.6714, TeL=1.0012, TeA=0.6704
Epoch 68: TrL=0.8502, TrA=0.7310, VL=1.0189, VA=0.6618, TeL=1.0473, TeA=0.6522
Epoch 69: TrL=0.8550, TrA=0.7284, VL=1.0744, VA=0.6447, TeL=1.0871, TeA=0.6406
Epoch 70: TrL=0.8416, TrA=0.7386, VL=1.5050, VA=0.5449, TeL=1.4763, TeA=0.5746
Epoch 71: TrL=0.8814, TrA=0.7236, VL=1.0102, VA=0.6678, TeL=1.0056, TeA=0.6724
Epoch 72: TrL=0.8224, TrA=0.7409, VL=1.0025, VA=0.6719, TeL=0.9850, TeA=0.6729
Epoch 73: TrL=0.7911, TrA=0.7516, VL=0.9738, VA=0.6815, TeL=0.9731, TeA=0.6724
Epoch 74: TrL=0.8057, TrA=0.7482, VL=0.9782, VA=0.6840, TeL=0.9524, TeA=0.6754
Epoch 75: TrL=0.7858, TrA=0.7519, VL=0.9815, VA=0.6739, TeL=0.9601, TeA=0.6804
Epoch 76: TrL=0.7483, TrA=0.7645, VL=0.9494, VA=0.6820, TeL=0.9373, TeA=0.6860
Epoch 77: TrL=0.7818, TrA=0.7531, VL=1.0033, VA=0.6643, TeL=0.9783, TeA=0.6754
Epoch 78: TrL=0.8309, TrA=0.7430, VL=0.9923, VA=0.6749, TeL=0.9689, TeA=0.6815
Epoch 79: TrL=0.7300, TrA=0.7716, VL=0.9152, VA=0.6935, TeL=0.9357, TeA=0.6971
Epoch 80: TrL=0.7393, TrA=0.7713, VL=0.9793, VA=0.6663, TeL=0.9495, TeA=0.6850
Epoch 81: TrL=0.8189, TrA=0.7448, VL=1.0387, VA=0.6729, TeL=0.9812, TeA=0.6840
Epoch 82: TrL=0.8539, TrA=0.7445, VL=1.1989, VA=0.6280, TeL=1.1947, TeA=0.6270
Epoch 83: TrL=0.8712, TrA=0.7304, VL=1.0383, VA=0.6578, TeL=0.9940, TeA=0.6754
Epoch 84: TrL=0.7756, TrA=0.7549, VL=0.9552, VA=0.6880, TeL=0.9130, TeA=0.6850
Epoch 85: TrL=0.7336, TrA=0.7694, VL=0.9604, VA=0.6825, TeL=0.9263, TeA=0.6860
Epoch 86: TrL=0.7141, TrA=0.7809, VL=0.9363, VA=0.6925, TeL=0.8903, TeA=0.7021
Epoch 87: TrL=0.6964, TrA=0.7821, VL=0.9408, VA=0.6880, TeL=0.9166, TeA=0.6991
Epoch 88: TrL=0.6813, TrA=0.7881, VL=0.9432, VA=0.7026, TeL=0.9135, TeA=0.7011
Epoch 89: TrL=0.7599, TrA=0.7671, VL=0.9386, VA=0.6986, TeL=0.9452, TeA=0.6925
Epoch 90: TrL=0.7040, TrA=0.7877, VL=0.8887, VA=0.7031, TeL=0.8661, TeA=0.7223
Epoch 91: TrL=0.6824, TrA=0.7890, VL=0.8860, VA=0.7172, TeL=0.8466, TeA=0.7273
Epoch 92: TrL=0.6843, TrA=0.7934, VL=0.8929, VA=0.7263, TeL=0.8676, TeA=0.7152
Epoch 93: TrL=0.6706, TrA=0.7945, VL=0.8455, VA=0.7344, TeL=0.8329, TeA=0.7324
Epoch 94: TrL=0.6814, TrA=0.7977, VL=0.9098, VA=0.7127, TeL=0.8797, TeA=0.7243
Epoch 95: TrL=0.6564, TrA=0.8021, VL=0.8667, VA=0.7344, TeL=0.8553, TeA=0.7228
Epoch 96: TrL=0.6917, TrA=0.7881, VL=0.8958, VA=0.7177, TeL=0.9029, TeA=0.7011
Epoch 97: TrL=0.6683, TrA=0.7989, VL=0.8517, VA=0.7223, TeL=0.8461, TeA=0.7369
Epoch 98: TrL=0.6650, TrA=0.8062, VL=0.8772, VA=0.7228, TeL=0.8565, TeA=0.7223
Epoch 99: TrL=0.6448, TrA=0.8047, VL=0.8630, VA=0.7283, TeL=0.8510, TeA=0.7248
Epoch 100: TrL=0.6272, TrA=0.8084, VL=0.8071, VA=0.7470, TeL=0.7785, TeA=0.7445
