Copied to CUDA
Epoch 1: TrL=3.7154, TrA=0.0277, VL=3.6786, VA=0.0282, TeL=3.6836, TeA=0.0338
Epoch 2: TrL=3.6259, TrA=0.0480, VL=3.5742, VA=0.0635, TeL=3.5885, TeA=0.0499
Epoch 3: TrL=3.4891, TrA=0.0738, VL=3.4334, VA=0.0817, TeL=3.4436, TeA=0.0675
Epoch 4: TrL=3.3226, TrA=0.0991, VL=3.2722, VA=0.0932, TeL=3.2939, TeA=0.0842
Epoch 5: TrL=3.1636, TrA=0.1138, VL=3.1207, VA=0.1069, TeL=3.1504, TeA=0.0877
Epoch 6: TrL=3.0179, TrA=0.1253, VL=2.9972, VA=0.1205, TeL=3.0138, TeA=0.0973
Epoch 7: TrL=2.8944, TrA=0.1483, VL=2.8905, VA=0.1336, TeL=2.9084, TeA=0.1210
Epoch 8: TrL=2.7926, TrA=0.1645, VL=2.7897, VA=0.1492, TeL=2.8137, TeA=0.1316
Epoch 9: TrL=2.7058, TrA=0.1766, VL=2.7279, VA=0.1623, TeL=2.7438, TeA=0.1452
Epoch 10: TrL=2.6361, TrA=0.1923, VL=2.6580, VA=0.1689, TeL=2.6728, TeA=0.1562
Epoch 11: TrL=2.5723, TrA=0.2013, VL=2.6020, VA=0.1820, TeL=2.6112, TeA=0.1648
Epoch 12: TrL=2.5142, TrA=0.2132, VL=2.5481, VA=0.1885, TeL=2.5577, TeA=0.1804
Epoch 13: TrL=2.4677, TrA=0.2238, VL=2.5122, VA=0.1915, TeL=2.5209, TeA=0.2001
Epoch 14: TrL=2.4212, TrA=0.2350, VL=2.4691, VA=0.1981, TeL=2.4740, TeA=0.2036
Epoch 15: TrL=2.3800, TrA=0.2360, VL=2.4368, VA=0.2082, TeL=2.4425, TeA=0.2137
Epoch 16: TrL=2.3377, TrA=0.2418, VL=2.4034, VA=0.2132, TeL=2.3932, TeA=0.2213
Epoch 17: TrL=2.3019, TrA=0.2511, VL=2.3755, VA=0.2208, TeL=2.3624, TeA=0.2253
Epoch 18: TrL=2.2684, TrA=0.2549, VL=2.3399, VA=0.2273, TeL=2.3266, TeA=0.2314
Epoch 19: TrL=2.2332, TrA=0.2609, VL=2.3201, VA=0.2308, TeL=2.2995, TeA=0.2384
Epoch 20: TrL=2.2047, TrA=0.2658, VL=2.2899, VA=0.2445, TeL=2.2734, TeA=0.2540
Epoch 21: TrL=2.1745, TrA=0.2762, VL=2.2678, VA=0.2419, TeL=2.2551, TeA=0.2515
Epoch 22: TrL=2.1476, TrA=0.2845, VL=2.2450, VA=0.2480, TeL=2.2243, TeA=0.2671
Epoch 23: TrL=2.1280, TrA=0.2925, VL=2.2384, VA=0.2455, TeL=2.2154, TeA=0.2520
Epoch 24: TrL=2.1000, TrA=0.2992, VL=2.1989, VA=0.2656, TeL=2.1890, TeA=0.2686
Epoch 25: TrL=2.0752, TrA=0.3077, VL=2.1711, VA=0.2727, TeL=2.1805, TeA=0.2772
Epoch 26: TrL=2.0580, TrA=0.3138, VL=2.1556, VA=0.2762, TeL=2.1362, TeA=0.2949
Epoch 27: TrL=2.0341, TrA=0.3203, VL=2.1566, VA=0.2833, TeL=2.1367, TeA=0.2782
Epoch 28: TrL=2.0170, TrA=0.3178, VL=2.1373, VA=0.2853, TeL=2.1132, TeA=0.2868
Epoch 29: TrL=1.9992, TrA=0.3262, VL=2.1229, VA=0.2908, TeL=2.0974, TeA=0.2863
Epoch 30: TrL=1.9803, TrA=0.3350, VL=2.0943, VA=0.2933, TeL=2.0733, TeA=0.3039
Epoch 31: TrL=1.9598, TrA=0.3374, VL=2.0904, VA=0.2994, TeL=2.0637, TeA=0.3175
Epoch 32: TrL=1.9430, TrA=0.3408, VL=2.0835, VA=0.2979, TeL=2.0533, TeA=0.3160
Epoch 33: TrL=1.9261, TrA=0.3465, VL=2.0758, VA=0.3009, TeL=2.0269, TeA=0.3145
