Copied to CUDA
Epoch 1: TrL=3.5783, TrA=0.0685, VL=3.3402, VA=0.1099, TeL=3.3268, TeA=0.1290
Epoch 2: TrL=2.9984, TrA=0.1822, VL=2.8272, VA=0.1915, TeL=2.8142, TeA=0.2203
Epoch 3: TrL=2.5964, TrA=0.2624, VL=2.5280, VA=0.2424, TeL=2.5078, TeA=0.2480
Epoch 4: TrL=2.4433, TrA=0.2876, VL=2.4271, VA=0.2535, TeL=2.3840, TeA=0.2828
Epoch 5: TrL=2.3395, TrA=0.3115, VL=2.3764, VA=0.2742, TeL=2.3887, TeA=0.2757
Epoch 6: TrL=2.2181, TrA=0.3301, VL=2.2401, VA=0.3024, TeL=2.2028, TeA=0.3327
Epoch 7: TrL=2.0615, TrA=0.3698, VL=2.1178, VA=0.3402, TeL=2.0582, TeA=0.3558
Epoch 8: TrL=2.0082, TrA=0.3912, VL=1.9954, VA=0.3800, TeL=1.9595, TeA=0.3770
Epoch 9: TrL=1.8613, TrA=0.4237, VL=1.8992, VA=0.3936, TeL=1.8875, TeA=0.4078
Epoch 10: TrL=1.8988, TrA=0.4166, VL=1.8619, VA=0.4093, TeL=1.8068, TeA=0.4274
Epoch 11: TrL=1.7491, TrA=0.4532, VL=1.7880, VA=0.4315, TeL=1.7600, TeA=0.4350
Epoch 12: TrL=1.8236, TrA=0.4315, VL=1.8875, VA=0.3816, TeL=1.8338, TeA=0.3967
Epoch 13: TrL=1.6893, TrA=0.4469, VL=1.7547, VA=0.4340, TeL=1.7069, TeA=0.4340
Epoch 14: TrL=1.6119, TrA=0.4893, VL=1.6963, VA=0.4607, TeL=1.6691, TeA=0.4632
Epoch 15: TrL=1.5918, TrA=0.4943, VL=1.8531, VA=0.4360, TeL=1.7937, TeA=0.4491
Epoch 16: TrL=1.5526, TrA=0.5073, VL=1.5862, VA=0.4844, TeL=1.5348, TeA=0.5015
Epoch 17: TrL=1.4450, TrA=0.5384, VL=1.5883, VA=0.4869, TeL=1.5491, TeA=0.4854
Epoch 18: TrL=1.4490, TrA=0.5279, VL=1.6548, VA=0.4718, TeL=1.6302, TeA=0.4894
Epoch 19: TrL=1.4070, TrA=0.5542, VL=1.6958, VA=0.4788, TeL=1.6166, TeA=0.4844
Epoch 20: TrL=1.3939, TrA=0.5565, VL=1.7403, VA=0.4693, TeL=1.7502, TeA=0.4874
Epoch 21: TrL=1.5584, TrA=0.5118, VL=1.8680, VA=0.4244, TeL=1.8034, TeA=0.4330
Epoch 22: TrL=1.9702, TrA=0.4134, VL=1.7863, VA=0.4345, TeL=1.7551, TeA=0.4577
Epoch 23: TrL=1.6289, TrA=0.4878, VL=1.7102, VA=0.4612, TeL=1.6582, TeA=0.4884
Epoch 24: TrL=1.4664, TrA=0.5391, VL=1.5436, VA=0.5010, TeL=1.4899, TeA=0.5272
Epoch 25: TrL=1.3605, TrA=0.5704, VL=1.4536, VA=0.5292, TeL=1.4277, TeA=0.5398
Epoch 26: TrL=1.3049, TrA=0.5895, VL=1.3917, VA=0.5479, TeL=1.3770, TeA=0.5630
Epoch 27: TrL=1.2719, TrA=0.6115, VL=1.4112, VA=0.5610, TeL=1.3758, TeA=0.5746
Epoch 28: TrL=1.1741, TrA=0.6430, VL=1.3239, VA=0.5877, TeL=1.3054, TeA=0.5867
