Copied to CUDA
Epoch 1: TrL=3.7022, TrA=0.0327, VL=3.6883, VA=0.0297, TeL=3.6760, TeA=0.0343
Epoch 2: TrL=3.6161, TrA=0.0531, VL=3.5945, VA=0.0494, TeL=3.5835, TeA=0.0514
Epoch 3: TrL=3.4891, TrA=0.0760, VL=3.4577, VA=0.0741, TeL=3.4415, TeA=0.0867
Epoch 4: TrL=3.3387, TrA=0.0923, VL=3.3109, VA=0.0867, TeL=3.2936, TeA=0.0993
Epoch 5: TrL=3.2033, TrA=0.1070, VL=3.1924, VA=0.0978, TeL=3.1651, TeA=0.1195
Epoch 6: TrL=3.0674, TrA=0.1209, VL=3.0779, VA=0.1094, TeL=3.0432, TeA=0.1310
Epoch 7: TrL=2.9814, TrA=0.1322, VL=2.9970, VA=0.1250, TeL=2.9623, TeA=0.1366
Epoch 8: TrL=2.8914, TrA=0.1503, VL=2.9246, VA=0.1396, TeL=2.8967, TeA=0.1497
Epoch 9: TrL=2.8357, TrA=0.1632, VL=2.8918, VA=0.1537, TeL=2.8593, TeA=0.1588
Epoch 10: TrL=2.7776, TrA=0.1771, VL=2.8223, VA=0.1532, TeL=2.7800, TeA=0.1704
Epoch 11: TrL=2.7080, TrA=0.1885, VL=2.7606, VA=0.1603, TeL=2.7328, TeA=0.1779
Epoch 12: TrL=2.6672, TrA=0.1935, VL=2.7201, VA=0.1769, TeL=2.6874, TeA=0.1870
Epoch 13: TrL=2.6198, TrA=0.2081, VL=2.6644, VA=0.1845, TeL=2.6387, TeA=0.1910
Epoch 14: TrL=2.6039, TrA=0.2111, VL=2.6532, VA=0.1880, TeL=2.6183, TeA=0.1961
Epoch 15: TrL=2.5541, TrA=0.2186, VL=2.6048, VA=0.1935, TeL=2.5821, TeA=0.2072
Epoch 16: TrL=2.5046, TrA=0.2262, VL=2.5991, VA=0.1905, TeL=2.5768, TeA=0.2067
Epoch 17: TrL=2.4963, TrA=0.2315, VL=2.5543, VA=0.2102, TeL=2.5283, TeA=0.2243
Epoch 18: TrL=2.4580, TrA=0.2373, VL=2.5196, VA=0.2137, TeL=2.4943, TeA=0.2233
Epoch 19: TrL=2.4349, TrA=0.2436, VL=2.5467, VA=0.2077, TeL=2.5020, TeA=0.2228
Epoch 20: TrL=2.4294, TrA=0.2432, VL=2.5150, VA=0.2077, TeL=2.4777, TeA=0.2298
Epoch 21: TrL=2.3708, TrA=0.2550, VL=2.4408, VA=0.2303, TeL=2.4204, TeA=0.2389
Epoch 22: TrL=2.3746, TrA=0.2541, VL=2.5119, VA=0.2198, TeL=2.4903, TeA=0.2324
Epoch 23: TrL=2.4218, TrA=0.2398, VL=2.4469, VA=0.2142, TeL=2.4188, TeA=0.2248
Epoch 24: TrL=2.4134, TrA=0.2459, VL=2.5514, VA=0.2122, TeL=2.5303, TeA=0.2263
Epoch 25: TrL=2.3822, TrA=0.2538, VL=2.4178, VA=0.2268, TeL=2.4066, TeA=0.2329
Epoch 26: TrL=2.2929, TrA=0.2686, VL=2.3604, VA=0.2414, TeL=2.3494, TeA=0.2440
Epoch 27: TrL=2.2670, TrA=0.2716, VL=2.3736, VA=0.2384, TeL=2.3808, TeA=0.2505
Epoch 28: TrL=2.2437, TrA=0.2783, VL=2.3339, VA=0.2445, TeL=2.3069, TeA=0.2525
Epoch 29: TrL=2.2430, TrA=0.2782, VL=2.3438, VA=0.2354, TeL=2.3230, TeA=0.2495
Epoch 30: TrL=2.2187, TrA=0.2796, VL=2.3030, VA=0.2440, TeL=2.2823, TeA=0.2601
Epoch 31: TrL=2.2023, TrA=0.2910, VL=2.2943, VA=0.2475, TeL=2.2759, TeA=0.2636
Epoch 32: TrL=2.1940, TrA=0.2915, VL=2.2750, VA=0.2495, TeL=2.2452, TeA=0.2681
Epoch 33: TrL=2.1437, TrA=0.3033, VL=2.2392, VA=0.2636, TeL=2.2177, TeA=0.2838
Epoch 34: TrL=2.1372, TrA=0.3045, VL=2.2426, VA=0.2712, TeL=2.2055, TeA=0.2974
Epoch 35: TrL=2.1143, TrA=0.3097, VL=2.2268, VA=0.2656, TeL=2.1962, TeA=0.2853
Epoch 36: TrL=2.1095, TrA=0.3111, VL=2.2403, VA=0.2737, TeL=2.1831, TeA=0.2984
Epoch 37: TrL=2.0739, TrA=0.3197, VL=2.2022, VA=0.2908, TeL=2.1618, TeA=0.3029
Epoch 38: TrL=2.0724, TrA=0.3244, VL=2.1659, VA=0.2903, TeL=2.1388, TeA=0.2984
Epoch 39: TrL=2.0327, TrA=0.3341, VL=2.1307, VA=0.3110, TeL=2.1059, TeA=0.3100
Epoch 40: TrL=2.0433, TrA=0.3316, VL=2.1922, VA=0.2787, TeL=2.1641, TeA=0.2918
Epoch 41: TrL=2.0220, TrA=0.3348, VL=2.1200, VA=0.3014, TeL=2.0985, TeA=0.3150
Epoch 42: TrL=2.0490, TrA=0.3302, VL=2.1788, VA=0.3004, TeL=2.1630, TeA=0.3085
Epoch 43: TrL=2.0058, TrA=0.3365, VL=2.0944, VA=0.3191, TeL=2.0598, TeA=0.3221
