Copied to CUDA
Epoch 1: TrL=3.6511, TrA=0.0448, VL=3.5847, VA=0.0635, TeL=3.5851, TeA=0.0640
Epoch 2: TrL=3.3803, TrA=0.1136, VL=3.2278, VA=0.1089, TeL=3.2418, TeA=0.1245
Epoch 3: TrL=3.0085, TrA=0.1689, VL=2.9253, VA=0.1517, TeL=2.9251, TeA=0.1794
Epoch 4: TrL=2.7729, TrA=0.2142, VL=2.7376, VA=0.1855, TeL=2.7308, TeA=0.2102
Epoch 5: TrL=2.5921, TrA=0.2435, VL=2.5586, VA=0.2293, TeL=2.5483, TeA=0.2676
Epoch 6: TrL=2.4748, TrA=0.2765, VL=2.4773, VA=0.2369, TeL=2.4792, TeA=0.2576
Epoch 7: TrL=2.3459, TrA=0.2891, VL=2.3591, VA=0.2571, TeL=2.3397, TeA=0.3009
Epoch 8: TrL=2.2359, TrA=0.3168, VL=2.2700, VA=0.2828, TeL=2.2312, TeA=0.3221
Epoch 9: TrL=2.1611, TrA=0.3344, VL=2.2172, VA=0.2933, TeL=2.1784, TeA=0.3332
Epoch 10: TrL=2.0590, TrA=0.3620, VL=2.1367, VA=0.3150, TeL=2.0875, TeA=0.3483
Epoch 11: TrL=2.0636, TrA=0.3559, VL=2.0849, VA=0.3306, TeL=2.0328, TeA=0.3574
Epoch 12: TrL=1.9866, TrA=0.3799, VL=2.0175, VA=0.3483, TeL=1.9712, TeA=0.3821
Epoch 13: TrL=1.8976, TrA=0.3994, VL=1.9664, VA=0.3584, TeL=1.9243, TeA=0.3846
Epoch 14: TrL=1.8311, TrA=0.4203, VL=1.9082, VA=0.3730, TeL=1.8577, TeA=0.4027
Epoch 15: TrL=1.7864, TrA=0.4279, VL=1.8784, VA=0.3881, TeL=1.8341, TeA=0.4062
Epoch 16: TrL=1.7446, TrA=0.4427, VL=1.8379, VA=0.3962, TeL=1.8071, TeA=0.4093
Epoch 17: TrL=1.7351, TrA=0.4396, VL=1.8089, VA=0.4012, TeL=1.7772, TeA=0.4103
Epoch 18: TrL=1.6880, TrA=0.4576, VL=1.7553, VA=0.4229, TeL=1.7289, TeA=0.4254
Epoch 19: TrL=1.6649, TrA=0.4613, VL=1.7384, VA=0.4123, TeL=1.7014, TeA=0.4320
