Copied to CUDA
Epoch 1: TrL=3.5858, TrA=0.0695, VL=3.3735, VA=0.1316, TeL=3.3916, TeA=0.1190
Epoch 2: TrL=3.0088, TrA=0.1957, VL=2.7036, VA=0.2389, TeL=2.7276, TeA=0.2303
Epoch 3: TrL=2.4554, TrA=0.3053, VL=2.2947, VA=0.3498, TeL=2.2887, TeA=0.3609
Epoch 4: TrL=2.1249, TrA=0.3780, VL=2.0454, VA=0.3962, TeL=2.0201, TeA=0.4189
Epoch 5: TrL=1.8853, TrA=0.4457, VL=1.8506, VA=0.4486, TeL=1.8368, TeA=0.4738
Epoch 6: TrL=1.7071, TrA=0.5006, VL=1.6901, VA=0.4934, TeL=1.6564, TeA=0.5217
Epoch 7: TrL=1.5342, TrA=0.5506, VL=1.5841, VA=0.5146, TeL=1.5503, TeA=0.5338
Epoch 8: TrL=1.4126, TrA=0.5882, VL=1.4606, VA=0.5565, TeL=1.4216, TeA=0.5736
Epoch 9: TrL=1.3067, TrA=0.6173, VL=1.4069, VA=0.5786, TeL=1.3388, TeA=0.6114
Epoch 10: TrL=1.1963, TrA=0.6532, VL=1.2952, VA=0.6089, TeL=1.2448, TeA=0.6300
Epoch 11: TrL=1.1074, TrA=0.6839, VL=1.2162, VA=0.6270, TeL=1.1945, TeA=0.6321
Epoch 12: TrL=1.0428, TrA=0.7027, VL=1.1657, VA=0.6411, TeL=1.1219, TeA=0.6613
Epoch 13: TrL=0.9777, TrA=0.7172, VL=1.0747, VA=0.6880, TeL=1.0362, TeA=0.6789
Epoch 14: TrL=0.9017, TrA=0.7416, VL=1.0370, VA=0.6850, TeL=0.9920, TeA=0.7092
Epoch 15: TrL=0.8411, TrA=0.7609, VL=0.9998, VA=0.6951, TeL=0.9645, TeA=0.7021
Epoch 16: TrL=0.7925, TrA=0.7788, VL=0.9159, VA=0.7344, TeL=0.8793, TeA=0.7389
Epoch 17: TrL=0.7450, TrA=0.7918, VL=0.9249, VA=0.7188, TeL=0.8859, TeA=0.7344
Epoch 18: TrL=0.7021, TrA=0.8060, VL=0.8654, VA=0.7450, TeL=0.8390, TeA=0.7505
Epoch 19: TrL=0.6583, TrA=0.8145, VL=0.8120, VA=0.7616, TeL=0.8258, TeA=0.7566
Epoch 20: TrL=0.6328, TrA=0.8198, VL=0.8267, VA=0.7555, TeL=0.7993, TeA=0.7621
Epoch 21: TrL=0.6009, TrA=0.8324, VL=0.7804, VA=0.7641, TeL=0.7662, TeA=0.7742
Epoch 22: TrL=0.5657, TrA=0.8443, VL=0.7202, VA=0.7833, TeL=0.7365, TeA=0.7772
Epoch 23: TrL=0.5342, TrA=0.8491, VL=0.7106, VA=0.7777, TeL=0.6982, TeA=0.7913
Epoch 24: TrL=0.4987, TrA=0.8683, VL=0.7097, VA=0.7868, TeL=0.7131, TeA=0.7752
Epoch 25: TrL=0.4814, TrA=0.8712, VL=0.6835, VA=0.7959, TeL=0.6858, TeA=0.7994
