Copied to CUDA
Epoch 55: TrL=1.7923, TrA=0.3705, VL=1.9050, VA=0.3246, TeL=1.8757, TeA=0.3342
Epoch 56: TrL=1.7462, TrA=0.3768, VL=1.8309, VA=0.3432, TeL=1.8238, TeA=0.3473
Epoch 57: TrL=1.7181, TrA=0.3906, VL=1.8410, VA=0.3533, TeL=1.8143, TeA=0.3543
Epoch 58: TrL=1.6838, TrA=0.3993, VL=1.8034, VA=0.3649, TeL=1.7936, TeA=0.3619
Epoch 59: TrL=1.6564, TrA=0.4090, VL=1.7893, VA=0.3800, TeL=1.7574, TeA=0.3780
Epoch 60: TrL=1.6394, TrA=0.4185, VL=1.7773, VA=0.3745, TeL=1.7908, TeA=0.3684
Epoch 61: TrL=1.6569, TrA=0.4107, VL=1.7466, VA=0.3750, TeL=1.7526, TeA=0.3700
Epoch 62: TrL=1.6213, TrA=0.4189, VL=1.7363, VA=0.3841, TeL=1.7193, TeA=0.3816
Epoch 63: TrL=1.6027, TrA=0.4279, VL=1.7208, VA=0.3936, TeL=1.7153, TeA=0.3836
Epoch 64: TrL=1.5872, TrA=0.4349, VL=1.7150, VA=0.3846, TeL=1.7204, TeA=0.3866
Epoch 65: TrL=1.5903, TrA=0.4277, VL=1.7428, VA=0.3810, TeL=1.7409, TeA=0.3775
Epoch 66: TrL=1.5912, TrA=0.4259, VL=1.7281, VA=0.3916, TeL=1.7149, TeA=0.3861
Epoch 67: TrL=1.5704, TrA=0.4413, VL=1.7085, VA=0.3876, TeL=1.7103, TeA=0.3916
Epoch 68: TrL=1.5509, TrA=0.4384, VL=1.6680, VA=0.4148, TeL=1.6748, TeA=0.3977
Epoch 69: TrL=1.5575, TrA=0.4439, VL=1.6831, VA=0.4113, TeL=1.6799, TeA=0.3876
Epoch 70: TrL=1.5574, TrA=0.4453, VL=1.7006, VA=0.4052, TeL=1.7103, TeA=0.3831
Epoch 71: TrL=1.5448, TrA=0.4487, VL=1.7748, VA=0.3992, TeL=1.7555, TeA=0.3805
Epoch 72: TrL=1.5409, TrA=0.4511, VL=1.6447, VA=0.4183, TeL=1.6322, TeA=0.4078
Epoch 73: TrL=1.5214, TrA=0.4559, VL=1.6995, VA=0.4158, TeL=1.6888, TeA=0.4042
Epoch 74: TrL=1.5179, TrA=0.4559, VL=1.6422, VA=0.4209, TeL=1.6388, TeA=0.4078
Epoch 75: TrL=1.5001, TrA=0.4650, VL=1.6349, VA=0.4173, TeL=1.6275, TeA=0.4214
Epoch 76: TrL=1.5263, TrA=0.4570, VL=1.6997, VA=0.4098, TeL=1.6682, TeA=0.4068
Epoch 77: TrL=1.4956, TrA=0.4688, VL=1.6031, VA=0.4279, TeL=1.6121, TeA=0.4274
Epoch 78: TrL=1.4910, TrA=0.4752, VL=1.5991, VA=0.4350, TeL=1.6114, TeA=0.4214
Epoch 79: TrL=1.5046, TrA=0.4711, VL=1.5948, VA=0.4355, TeL=1.5888, TeA=0.4365
Epoch 80: TrL=1.4774, TrA=0.4754, VL=1.5794, VA=0.4400, TeL=1.5955, TeA=0.4294
Epoch 81: TrL=1.4841, TrA=0.4785, VL=1.5982, VA=0.4350, TeL=1.6070, TeA=0.4249
Epoch 82: TrL=1.4489, TrA=0.4887, VL=1.5724, VA=0.4446, TeL=1.5929, TeA=0.4360
Epoch 83: TrL=1.4613, TrA=0.4829, VL=1.5703, VA=0.4390, TeL=1.5992, TeA=0.4335
Epoch 84: TrL=1.4447, TrA=0.4920, VL=1.5661, VA=0.4456, TeL=1.5791, TeA=0.4385
Epoch 85: TrL=1.4725, TrA=0.4868, VL=1.7484, VA=0.4138, TeL=1.7360, TeA=0.4239
Epoch 86: TrL=1.4764, TrA=0.4912, VL=1.5534, VA=0.4491, TeL=1.5654, TeA=0.4446
Epoch 87: TrL=1.4228, TrA=0.5014, VL=1.5312, VA=0.4531, TeL=1.5531, TeA=0.4682
Epoch 88: TrL=1.4189, TrA=0.5015, VL=1.5171, VA=0.4536, TeL=1.5346, TeA=0.4632
Epoch 89: TrL=1.4121, TrA=0.5054, VL=1.5451, VA=0.4551, TeL=1.5503, TeA=0.4713
Epoch 90: TrL=1.4094, TrA=0.5057, VL=1.5751, VA=0.4466, TeL=1.5880, TeA=0.4526
Epoch 91: TrL=1.4310, TrA=0.5030, VL=1.5219, VA=0.4637, TeL=1.5456, TeA=0.4703
Epoch 92: TrL=1.4060, TrA=0.5070, VL=1.5036, VA=0.4693, TeL=1.5368, TeA=0.4536
Epoch 93: TrL=1.3930, TrA=0.5126, VL=1.5182, VA=0.4612, TeL=1.5130, TeA=0.4723
Epoch 94: TrL=1.4014, TrA=0.5131, VL=1.5582, VA=0.4486, TeL=1.5715, TeA=0.4546
Epoch 95: TrL=1.4154, TrA=0.5098, VL=1.5397, VA=0.4561, TeL=1.5757, TeA=0.4607
Epoch 96: TrL=1.3972, TrA=0.5166, VL=1.5178, VA=0.4602, TeL=1.5140, TeA=0.4703
Epoch 97: TrL=1.3769, TrA=0.5214, VL=1.4787, VA=0.4723, TeL=1.5160, TeA=0.4768
Epoch 98: TrL=1.3665, TrA=0.5213, VL=1.4840, VA=0.4834, TeL=1.5223, TeA=0.4829
Epoch 99: TrL=1.3471, TrA=0.5272, VL=1.4745, VA=0.4824, TeL=1.5110, TeA=0.4839
Epoch 100: TrL=1.3782, TrA=0.5233, VL=1.5223, VA=0.4617, TeL=1.5255, TeA=0.4677
