Copied to CUDA
Epoch 1: TrL=3.6973, TrA=0.0347, VL=3.6874, VA=0.0307, TeL=3.6740, TeA=0.0383
Epoch 2: TrL=3.6201, TrA=0.0557, VL=3.6066, VA=0.0615, TeL=3.6021, TeA=0.0544
Epoch 3: TrL=3.5057, TrA=0.0791, VL=3.4746, VA=0.0731, TeL=3.4724, TeA=0.0746
Epoch 4: TrL=3.3512, TrA=0.1021, VL=3.3136, VA=0.1013, TeL=3.3196, TeA=0.0907
Epoch 5: TrL=3.1715, TrA=0.1327, VL=3.1583, VA=0.1139, TeL=3.1690, TeA=0.1134
Epoch 6: TrL=3.0126, TrA=0.1483, VL=3.0209, VA=0.1310, TeL=3.0273, TeA=0.1305
Epoch 7: TrL=2.9062, TrA=0.1582, VL=2.9483, VA=0.1321, TeL=2.9697, TeA=0.1210
Epoch 8: TrL=2.8855, TrA=0.1517, VL=2.8835, VA=0.1452, TeL=2.8855, TeA=0.1321
Epoch 9: TrL=2.7632, TrA=0.1729, VL=2.7950, VA=0.1573, TeL=2.7896, TeA=0.1568
Epoch 10: TrL=2.6905, TrA=0.1867, VL=2.7320, VA=0.1638, TeL=2.7334, TeA=0.1613
Epoch 11: TrL=2.6373, TrA=0.1943, VL=2.6838, VA=0.1754, TeL=2.6770, TeA=0.1694
Epoch 12: TrL=2.5809, TrA=0.2016, VL=2.6354, VA=0.1860, TeL=2.6220, TeA=0.1830
Epoch 13: TrL=2.5406, TrA=0.2090, VL=2.5880, VA=0.1900, TeL=2.5768, TeA=0.1865
Epoch 14: TrL=2.4905, TrA=0.2218, VL=2.5410, VA=0.2067, TeL=2.5212, TeA=0.2001
Epoch 15: TrL=2.4457, TrA=0.2266, VL=2.4994, VA=0.2117, TeL=2.4891, TeA=0.2061
Epoch 16: TrL=2.4041, TrA=0.2357, VL=2.4540, VA=0.2248, TeL=2.4492, TeA=0.2082
Epoch 17: TrL=2.3751, TrA=0.2453, VL=2.4977, VA=0.2072, TeL=2.4739, TeA=0.2092
Epoch 18: TrL=2.3455, TrA=0.2504, VL=2.4676, VA=0.2203, TeL=2.4596, TeA=0.2147
Epoch 19: TrL=2.3665, TrA=0.2515, VL=2.4078, VA=0.2258, TeL=2.3943, TeA=0.2193
Epoch 20: TrL=2.2923, TrA=0.2582, VL=2.3424, VA=0.2293, TeL=2.3157, TeA=0.2364
Epoch 21: TrL=2.2398, TrA=0.2665, VL=2.3057, VA=0.2389, TeL=2.2874, TeA=0.2440
Epoch 22: TrL=2.2342, TrA=0.2665, VL=2.2861, VA=0.2419, TeL=2.2681, TeA=0.2480
Epoch 23: TrL=2.1833, TrA=0.2787, VL=2.2645, VA=0.2515, TeL=2.2420, TeA=0.2465
Epoch 24: TrL=2.1682, TrA=0.2806, VL=2.2481, VA=0.2596, TeL=2.2295, TeA=0.2460
Epoch 25: TrL=2.1484, TrA=0.2901, VL=2.2116, VA=0.2626, TeL=2.1987, TeA=0.2520
Epoch 26: TrL=2.1118, TrA=0.2977, VL=2.2156, VA=0.2611, TeL=2.1809, TeA=0.2566
Epoch 27: TrL=2.1118, TrA=0.2951, VL=2.1799, VA=0.2656, TeL=2.1741, TeA=0.2671
Epoch 28: TrL=2.0741, TrA=0.3080, VL=2.1463, VA=0.2848, TeL=2.1344, TeA=0.2873
Epoch 29: TrL=2.0563, TrA=0.3075, VL=2.1582, VA=0.2727, TeL=2.1335, TeA=0.2792
Epoch 30: TrL=2.0474, TrA=0.3140, VL=2.1197, VA=0.2873, TeL=2.0993, TeA=0.2903
Epoch 31: TrL=2.0401, TrA=0.3148, VL=2.1115, VA=0.3070, TeL=2.0780, TeA=0.3085
Epoch 32: TrL=1.9914, TrA=0.3295, VL=2.0722, VA=0.3075, TeL=2.0615, TeA=0.3120
Epoch 33: TrL=1.9821, TrA=0.3387, VL=2.1046, VA=0.3014, TeL=2.0778, TeA=0.2964
Epoch 34: TrL=1.9563, TrA=0.3460, VL=2.0354, VA=0.3150, TeL=2.0104, TeA=0.3155
Epoch 35: TrL=1.9584, TrA=0.3404, VL=2.0545, VA=0.2984, TeL=2.0317, TeA=0.3211
Epoch 36: TrL=1.9726, TrA=0.3422, VL=2.0109, VA=0.3140, TeL=1.9905, TeA=0.3291
Epoch 37: TrL=1.9034, TrA=0.3569, VL=1.9931, VA=0.3216, TeL=1.9744, TeA=0.3251
Epoch 38: TrL=1.8839, TrA=0.3644, VL=1.9521, VA=0.3246, TeL=1.9455, TeA=0.3407
Epoch 39: TrL=1.8717, TrA=0.3657, VL=1.9674, VA=0.3271, TeL=1.9554, TeA=0.3427
