Epoch 55: TrL=1.9868, TrA=0.3212, VL=2.1214, VA=0.2757, TeL=2.0852, TeA=0.2913
Epoch 56: TrL=1.9782, TrA=0.3249, VL=2.1132, VA=0.2828, TeL=2.0872, TeA=0.2939
Epoch 57: TrL=1.9715, TrA=0.3219, VL=2.1057, VA=0.2893, TeL=2.0851, TeA=0.2908
Epoch 58: TrL=1.9646, TrA=0.3270, VL=2.0996, VA=0.2888, TeL=2.0713, TeA=0.2944
Epoch 59: TrL=1.9564, TrA=0.3311, VL=2.0961, VA=0.2918, TeL=2.0629, TeA=0.2959
Epoch 60: TrL=1.9515, TrA=0.3288, VL=2.0860, VA=0.2888, TeL=2.0625, TeA=0.2918
Epoch 61: TrL=1.9452, TrA=0.3322, VL=2.0815, VA=0.2868, TeL=2.0508, TeA=0.2974
Epoch 62: TrL=1.9390, TrA=0.3311, VL=2.0817, VA=0.2933, TeL=2.0565, TeA=0.2949
Epoch 63: TrL=1.9336, TrA=0.3344, VL=2.0741, VA=0.2903, TeL=2.0393, TeA=0.3070
Epoch 64: TrL=1.9261, TrA=0.3365, VL=2.0752, VA=0.2979, TeL=2.0432, TeA=0.2969
Epoch 65: TrL=1.9211, TrA=0.3351, VL=2.0654, VA=0.2964, TeL=2.0389, TeA=0.3029
Epoch 66: TrL=1.9151, TrA=0.3394, VL=2.0544, VA=0.2898, TeL=2.0359, TeA=0.3009
Epoch 67: TrL=1.9112, TrA=0.3384, VL=2.0504, VA=0.2949, TeL=2.0316, TeA=0.3019
Epoch 68: TrL=1.9040, TrA=0.3428, VL=2.0540, VA=0.2903, TeL=2.0256, TeA=0.3085
Epoch 69: TrL=1.8976, TrA=0.3394, VL=2.0467, VA=0.2898, TeL=2.0173, TeA=0.3085
Epoch 70: TrL=1.8948, TrA=0.3456, VL=2.0387, VA=0.3059, TeL=2.0198, TeA=0.3085
Epoch 71: TrL=1.8847, TrA=0.3462, VL=2.0401, VA=0.3004, TeL=2.0145, TeA=0.3034
Epoch 72: TrL=1.8819, TrA=0.3454, VL=2.0300, VA=0.3054, TeL=1.9990, TeA=0.3160
Epoch 73: TrL=1.8774, TrA=0.3485, VL=2.0250, VA=0.3039, TeL=1.9925, TeA=0.3206
Epoch 74: TrL=1.8703, TrA=0.3502, VL=2.0223, VA=0.3019, TeL=2.0015, TeA=0.3100
Epoch 75: TrL=1.8649, TrA=0.3539, VL=2.0158, VA=0.3034, TeL=1.9900, TeA=0.3155
Epoch 76: TrL=1.8601, TrA=0.3551, VL=2.0168, VA=0.3024, TeL=1.9886, TeA=0.3110
Epoch 77: TrL=1.8538, TrA=0.3607, VL=1.9957, VA=0.3044, TeL=1.9781, TeA=0.3180
Epoch 78: TrL=1.8496, TrA=0.3605, VL=1.9982, VA=0.2989, TeL=1.9820, TeA=0.3271
Epoch 79: TrL=1.8459, TrA=0.3633, VL=1.9920, VA=0.3070, TeL=1.9718, TeA=0.3296
Epoch 80: TrL=1.8385, TrA=0.3672, VL=1.9863, VA=0.3054, TeL=1.9691, TeA=0.3241
Epoch 81: TrL=1.8332, TrA=0.3673, VL=1.9866, VA=0.3150, TeL=1.9647, TeA=0.3226
Epoch 82: TrL=1.8286, TrA=0.3641, VL=1.9889, VA=0.3170, TeL=1.9594, TeA=0.3241
Epoch 83: TrL=1.8229, TrA=0.3742, VL=1.9810, VA=0.3065, TeL=1.9591, TeA=0.3311
Epoch 84: TrL=1.8194, TrA=0.3685, VL=1.9881, VA=0.3065, TeL=1.9600, TeA=0.3241
Epoch 85: TrL=1.8129, TrA=0.3712, VL=1.9814, VA=0.3145, TeL=1.9567, TeA=0.3301
Epoch 86: TrL=1.8104, TrA=0.3716, VL=1.9697, VA=0.3201, TeL=1.9460, TeA=0.3327
Epoch 87: TrL=1.8048, TrA=0.3771, VL=1.9669, VA=0.3175, TeL=1.9429, TeA=0.3392
Epoch 88: TrL=1.7996, TrA=0.3774, VL=1.9599, VA=0.3271, TeL=1.9383, TeA=0.3367
Epoch 89: TrL=1.7963, TrA=0.3815, VL=1.9551, VA=0.3241, TeL=1.9356, TeA=0.3438
Epoch 90: TrL=1.7904, TrA=0.3838, VL=1.9427, VA=0.3251, TeL=1.9263, TeA=0.3347
Epoch 91: TrL=1.7869, TrA=0.3839, VL=1.9491, VA=0.3261, TeL=1.9251, TeA=0.3463
Epoch 92: TrL=1.7814, TrA=0.3791, VL=1.9457, VA=0.3221, TeL=1.9245, TeA=0.3322
Epoch 93: TrL=1.7772, TrA=0.3887, VL=1.9509, VA=0.3322, TeL=1.9162, TeA=0.3543
Epoch 94: TrL=1.7732, TrA=0.3858, VL=1.9528, VA=0.3236, TeL=1.9250, TeA=0.3473
Epoch 95: TrL=1.7713, TrA=0.3920, VL=1.9323, VA=0.3327, TeL=1.9073, TeA=0.3513
Epoch 96: TrL=1.7648, TrA=0.3887, VL=1.9267, VA=0.3342, TeL=1.9076, TeA=0.3463
Epoch 97: TrL=1.7618, TrA=0.3945, VL=1.9263, VA=0.3276, TeL=1.9054, TeA=0.3397
Epoch 98: TrL=1.7571, TrA=0.3895, VL=1.9404, VA=0.3372, TeL=1.9181, TeA=0.3508
Epoch 99: TrL=1.7541, TrA=0.3900, VL=1.9248, VA=0.3412, TeL=1.9087, TeA=0.3458
Epoch 100: TrL=1.7523, TrA=0.3942, VL=1.9213, VA=0.3301, TeL=1.8992, TeA=0.3498
