Copied to CUDA
Epoch 1: TrL=3.7075, TrA=0.0314, VL=3.6773, VA=0.0323, TeL=3.6954, TeA=0.0363
Epoch 2: TrL=3.6313, TrA=0.0495, VL=3.6140, VA=0.0433, TeL=3.6275, TeA=0.0504
Epoch 3: TrL=3.5396, TrA=0.0718, VL=3.5082, VA=0.0756, TeL=3.5095, TeA=0.0771
Epoch 4: TrL=3.4108, TrA=0.0900, VL=3.3786, VA=0.0897, TeL=3.3675, TeA=0.0998
Epoch 5: TrL=3.2604, TrA=0.1089, VL=3.2746, VA=0.0968, TeL=3.2816, TeA=0.1043
Epoch 6: TrL=3.1458, TrA=0.1291, VL=3.1594, VA=0.1079, TeL=3.1626, TeA=0.1235
Epoch 7: TrL=3.0484, TrA=0.1391, VL=3.0650, VA=0.1326, TeL=3.0671, TeA=0.1376
Epoch 8: TrL=2.9669, TrA=0.1562, VL=3.0058, VA=0.1361, TeL=3.0005, TeA=0.1406
Epoch 9: TrL=2.8854, TrA=0.1635, VL=2.9149, VA=0.1477, TeL=2.9192, TeA=0.1482
Epoch 10: TrL=2.8092, TrA=0.1747, VL=2.8412, VA=0.1552, TeL=2.8481, TeA=0.1467
Epoch 11: TrL=2.7654, TrA=0.1762, VL=2.8227, VA=0.1573, TeL=2.8171, TeA=0.1653
Epoch 12: TrL=2.7010, TrA=0.1870, VL=2.7348, VA=0.1764, TeL=2.7390, TeA=0.1729
Epoch 13: TrL=2.6705, TrA=0.1903, VL=2.6944, VA=0.1825, TeL=2.7036, TeA=0.1885
Epoch 14: TrL=2.6052, TrA=0.2044, VL=2.6309, VA=0.1930, TeL=2.6462, TeA=0.1971
Epoch 15: TrL=2.5501, TrA=0.2149, VL=2.5963, VA=0.1935, TeL=2.6054, TeA=0.1996
Epoch 16: TrL=2.5182, TrA=0.2201, VL=2.5646, VA=0.2016, TeL=2.5566, TeA=0.2127
Epoch 17: TrL=2.4891, TrA=0.2215, VL=2.5494, VA=0.2077, TeL=2.5406, TeA=0.2117
Epoch 18: TrL=2.5099, TrA=0.2133, VL=2.5384, VA=0.1981, TeL=2.5124, TeA=0.2157
Epoch 19: TrL=2.4351, TrA=0.2298, VL=2.4909, VA=0.1981, TeL=2.4849, TeA=0.2182
Epoch 20: TrL=2.4328, TrA=0.2296, VL=2.5390, VA=0.1915, TeL=2.5168, TeA=0.2117
Epoch 21: TrL=2.5307, TrA=0.2181, VL=2.5716, VA=0.1865, TeL=2.5446, TeA=0.2046
Epoch 22: TrL=2.4432, TrA=0.2285, VL=2.4888, VA=0.2001, TeL=2.4831, TeA=0.2193
Epoch 23: TrL=2.3995, TrA=0.2368, VL=2.5282, VA=0.2026, TeL=2.5559, TeA=0.2137
Epoch 24: TrL=2.3722, TrA=0.2464, VL=2.4252, VA=0.2213, TeL=2.4232, TeA=0.2379
Epoch 25: TrL=2.3253, TrA=0.2559, VL=2.3901, VA=0.2243, TeL=2.4015, TeA=0.2354
Epoch 26: TrL=2.3085, TrA=0.2575, VL=2.3803, VA=0.2243, TeL=2.3748, TeA=0.2419
Epoch 27: TrL=2.2846, TrA=0.2682, VL=2.3411, VA=0.2268, TeL=2.3384, TeA=0.2465
Epoch 28: TrL=2.2521, TrA=0.2718, VL=2.3262, VA=0.2369, TeL=2.3154, TeA=0.2626
Epoch 29: TrL=2.2501, TrA=0.2729, VL=2.2951, VA=0.2520, TeL=2.2939, TeA=0.2571
Epoch 30: TrL=2.2105, TrA=0.2821, VL=2.2726, VA=0.2525, TeL=2.2714, TeA=0.2762
Epoch 31: TrL=2.1916, TrA=0.2890, VL=2.2562, VA=0.2550, TeL=2.2465, TeA=0.2712
Epoch 32: TrL=2.1713, TrA=0.2985, VL=2.2364, VA=0.2535, TeL=2.2563, TeA=0.2686
Epoch 33: TrL=2.1434, TrA=0.2963, VL=2.2235, VA=0.2571, TeL=2.1996, TeA=0.2863
Epoch 34: TrL=2.1901, TrA=0.2940, VL=2.1969, VA=0.2661, TeL=2.1835, TeA=0.2792
Epoch 35: TrL=2.1186, TrA=0.3045, VL=2.1938, VA=0.2692, TeL=2.1783, TeA=0.2923
Epoch 36: TrL=2.1202, TrA=0.3063, VL=2.2007, VA=0.2566, TeL=2.1676, TeA=0.2908
Epoch 37: TrL=2.0819, TrA=0.3177, VL=2.1208, VA=0.2858, TeL=2.1074, TeA=0.3049
Epoch 38: TrL=2.0694, TrA=0.3221, VL=2.1229, VA=0.2797, TeL=2.1083, TeA=0.2999
Epoch 39: TrL=2.0720, TrA=0.3174, VL=2.1053, VA=0.2818, TeL=2.0966, TeA=0.3004
Epoch 40: TrL=2.0219, TrA=0.3209, VL=2.0878, VA=0.2838, TeL=2.0596, TeA=0.3049
Epoch 41: TrL=2.0202, TrA=0.3305, VL=2.0933, VA=0.2833, TeL=2.0833, TeA=0.3039
Epoch 42: TrL=2.0073, TrA=0.3255, VL=2.0486, VA=0.2974, TeL=2.0472, TeA=0.3175
Epoch 43: TrL=2.0027, TrA=0.3356, VL=2.1774, VA=0.2858, TeL=2.1292, TeA=0.3024
Epoch 44: TrL=1.9617, TrA=0.3383, VL=2.0295, VA=0.3049, TeL=2.0184, TeA=0.3246
Epoch 45: TrL=2.0089, TrA=0.3326, VL=2.1488, VA=0.2933, TeL=2.1248, TeA=0.3140
Epoch 46: TrL=2.0142, TrA=0.3334, VL=2.0853, VA=0.2989, TeL=2.0785, TeA=0.3105
Epoch 47: TrL=1.9814, TrA=0.3378, VL=2.0010, VA=0.3160, TeL=1.9907, TeA=0.3256
Epoch 48: TrL=1.9223, TrA=0.3504, VL=1.9670, VA=0.3165, TeL=1.9550, TeA=0.3397
Epoch 49: TrL=1.8948, TrA=0.3592, VL=1.9735, VA=0.3130, TeL=1.9515, TeA=0.3317
Epoch 50: TrL=1.8727, TrA=0.3658, VL=1.9544, VA=0.3185, TeL=1.9446, TeA=0.3377
Epoch 51: TrL=1.8637, TrA=0.3686, VL=2.0662, VA=0.3191, TeL=2.0663, TeA=0.3241
Epoch 52: TrL=1.8950, TrA=0.3576, VL=1.9714, VA=0.3362, TeL=1.9870, TeA=0.3422
Epoch 53: TrL=1.9447, TrA=0.3573, VL=2.0531, VA=0.3054, TeL=2.0695, TeA=0.3185
Epoch 54: TrL=1.9027, TrA=0.3624, VL=1.9456, VA=0.3276, TeL=1.9187, TeA=0.3488
Epoch 55: TrL=1.8428, TrA=0.3771, VL=1.9235, VA=0.3342, TeL=1.9029, TeA=0.3594
Epoch 56: TrL=1.8384, TrA=0.3740, VL=1.9311, VA=0.3332, TeL=1.8952, TeA=0.3463
Epoch 57: TrL=1.8063, TrA=0.3803, VL=1.8830, VA=0.3503, TeL=1.8652, TeA=0.3564
Epoch 58: TrL=1.8108, TrA=0.3836, VL=1.8937, VA=0.3483, TeL=1.8973, TeA=0.3508
Epoch 59: TrL=1.7827, TrA=0.3910, VL=1.8626, VA=0.3468, TeL=1.8509, TeA=0.3558
Epoch 60: TrL=1.7855, TrA=0.3934, VL=1.8952, VA=0.3448, TeL=1.8896, TeA=0.3533
Epoch 61: TrL=1.7797, TrA=0.3903, VL=1.8760, VA=0.3458, TeL=1.8739, TeA=0.3448
Epoch 62: TrL=1.7662, TrA=0.3900, VL=1.8658, VA=0.3453, TeL=1.8519, TeA=0.3639
Epoch 63: TrL=1.7776, TrA=0.3927, VL=1.8501, VA=0.3513, TeL=1.8500, TeA=0.3503
Epoch 64: TrL=1.7593, TrA=0.3921, VL=1.8283, VA=0.3634, TeL=1.8333, TeA=0.3619
Epoch 65: TrL=1.7396, TrA=0.4017, VL=1.8014, VA=0.3639, TeL=1.7891, TeA=0.3710
